1, 227
1, 143
1, 226
1, 127
1, 177
1, 251
1, 160
1, 100
1, 224
1, 262
2, 251
2, 231
2, 40
2, 108
2, 233
2, 16
2, 106
2, 127
2, 167
2, 279
2, 290
2, 107
2, 142
2, 209
3, 112
3, 58
3, 200
3, 151
3, 116
3, 199
4, 177
4, 160
4, 179
4, 256
4, 177
4, 50
5, 145
5, 153
5, 230
5, 265
5, 163
6, 120
6, 267
6, 28
6, 24
6, 217
6, 181
6, 193
6, 134
6, 21
6, 158
6, 103
6, 104
6, 204
6, 103
7, 169
7, 294
7, 69
7, 101
7, 6
7, 106
7, 230
7, 221
7, 177
8, 251
8, 174
8, 157
8, 138
8, 269
8, 300
8, 73
8, 128
8, 42
8, 267
8, 61
8, 265
8, 184
9, 266
9, 287
9, 93
9, 133
9, 51
9, 64
9, 285
9, 33
9, 154
9, 93
10, 127
10, 17
10, 120
10, 247
10, 264
10, 75
10, 178
10, 166
10, 192
10, 286
10, 256
10, 27
10, 138
